Text,Actual HS,Predicted HS
hebat maksud tuju sensi basa basi urung patah silaturahmi klarifikasi orang jamaah nti viral budaya toleransi timur eksistensi,0,0
malam bloon aje lu salah wkwk,1,1
sekian ganggu dungu sabar tunggu terkam yg dendam,0,0
eh tp ya ngomongin pacar beda agama temen gue ortunya beda agama tetep islam ayah kristen arti gapapa,0,0
ya bacot emg lu,1,1
teranginegeri budaya yuk visit purwokerto mumpung even rakyat purwokerto extravaganzabanyumas,0,0
tulis ku cinta mulut bisu aksara abadi kenang ash,0,0
senjata buah bukti anti perintah paham komunisterlalu dangkal bukti lu med,1,1
sibuk eue,0,0
hallo pimensiv lele rien moga langgeng yaa dijauhin pelakor antek antek nya trus sayang ngertiin aja,0,0
aktivis mah yg harto tumpas pki,0,0
tahan islam indonesia bangun bangsa negara,1,1
saracen acara asma dewi rawan aniessandi,1,1
ngutang nyuapin bikin candi mangkrak mending jamban,0,1
tipu pilpres buzzer cebong nggak dosa klo nipu,1,1
np falshbacknnkamu masker rambut bahan masuk mudah tinggal pilih masker alpukat telur santan buahbuahan lidah buayannserasi,0,0
tolakperprestka tolakperprestka hai mahasiswa indonesia nih hadiah lipstik kolor orang kakek tukang beca,1,0
henti pamer dungu biadab islam wiraswasta allah swt janji harta rampas,1,1
sukar paham rakyat palestin biar yahudi jajah rakyat turki biar khilafah jatuh,0,1
peduli panas hujan presiden jokowi lihat semangat baju putih basah kuyup presiden injak kaki tanah asmat papua,0,0
riza wahyu pratamaaneh bin ajaib gaji gubernur bi presiden,0,0
makasih unik ga kaya armeries udik,1,0
pribadi yg senang kompetisi positif,0,0
ide unik sejarah indonesia kumpul impi masyarakat propinsi indonesia,0,0
spt ahok nasdem susul dg cs nya dukung paslon nista agama tukang caci maki tai tai,1,1
marah kak tar ubah monyet,0,0
tolol dah ditungguin bgst,1,1
destinasi piknik gue gereja katolik why krn gua bacot gua suka khidmat atur tsah gue jg sekolah sd katolik gt bina iman gue mudeng ibadah jg gakelamaan jd cocok jad,0,0
promosi nikah muda kelit sok inosen deh ajar meni mosok ajar ganti gera nikah muda hindar zina please deh,1,0
jg org yg islami dgn bangun narasi yg tuju kpd yg beda sbg liberal sekuler munafiq antek asing,0,0
jam lembur ngentotnnurl,0,0
dunia kaum sakit hati hancur gin indonesia suudzon,1,1
kangen smasa bajing,0,0
kampung adrian nptl,1,0
cacat nya demokrasi harga intelektualitas orang orang gak sekolah orang yg juang pintar gelar prof nilai suara,0,0
nak kawin ni kena simpan duitilmu agama kena benda kena la senang cerita,0,0
byk kpk tangkap ott menjukkan kpk gagal bubar serah polisi jaksa,1,1
yaapssss promosiin besarbesaran,0,0
knpsih ni dosen adzan gapernah break gitu nyerocos mulu kunyuk,1,0
antekantek munnngabut exo,0,0
gak hidup cebong klo gak produksi makan hoaks,1,1
alquran tulis orang kafir kyak lu wajar gak tau sih silah baca turun lo lo,1,1
emot nete bener aja lo,0,1
alah bacot congor lu bau,1,1
gppalah sdh sadar insyaf nyata capres dukung dipilpres kemarin nyata sontoloyo,1,1
agenda demo turun jokowi penjara ahok trus pki besok demo suruh angkat prabowo jd presiden aksimaksa,1,1
la tau autis,0,0
komunis kali coba bangkit rezim orba haus,1,1
gubernurzamannow keanekaragaman budaya suku agama sungguh kaya djarot hadap rakercabsu,0,0
jkt liat wagakbener aseng asing asong taekkk,1,1
goblog ga nyambung,0,0
sok tau bgt sih njeng hun aja betah nete gue,0,0
pilkada damai anti hoax,0,0
ya iya minions gak main duo daddies fajarardianto,0,0
buka bandara arti lapang kerja yg ekonomi tumbuh masyarakat dpt nikmat manfaat,0,0
gue gak baca bodo,1,0
indonesia hormat asnnntu sape nyang kemaren ngomong begitunwahhh dr antek asing tuh,1,0
matanajwadebatjakarta lucu banget ahok gak nyambung kena skak mat d isu agama tdi dasar cina tolol hahaha,1,1
aje lo kunyuk,0,0
yg adlh sistem metabolisme orang makan dikit serap gampang gendut yg sistem serap rendah biar makan tetep kurus,0,0
ngomong ahmad dhani monyet babi anjing,1,1
wanti wanti orang pakai nama gereja katolik,0,0
cocokk,1,0
penuh persen butuh bawang putih nasional jaya hasil tani bawang putih impor bawang putih persen,0,0
johor negeri pesat bangun golong professional jaga agama,0,0
beliau projo gelar kristen,0,0
nfollowers salah paksa tp tuyul lho emang neng baca aja nulis,0,0
prabowo orasi bantu utk rohingya citra isu pki masif edar media online sosmed ya,1,1
cebong produsen hoaxtukang bohong ingkar janji,1,1
prabowo kecut tuduh elit goblok maling serampang klo jantan hrs nama orang klo tdk berani arti banci maksud tum partai lawan politiknyahahaha salam periode,1,1
agama energi sisi konstruktif sisi agama rusak agama orangorang bicara nama agama syaikh abdullah bin bayyah,0,0
bangsa indonesia sukano ulama kiai juang muslim juang muslim negara islam,1,0
isu pki muncul dlm semangat fitnah oborrakyat pks pilih gk habis pikir knp pimred or malh direksi bumn blunder,1,1
sesuai tap mprs pecat kalo jokowi diam jokowi langgar tap mprs layak lengser kalo mpr takut ulang,1,1
wkt agama kristen kuat timur wkt byzantium eksistensi agama bentuk ormas parabalani anggota parabalani dr kelompok rendah masyarakat fanatik kristen taat ulama,0,0
uang muanas kemunafikanya,1,0
gara gara orang kafeer yahudi gimana coba aja pake hp apasih emang hadeh ntar carrefour ubah nama indomaret aja,0,0
ketawain ajaorang munafik mah kerja bgtpendukung wan abud asu,1,1
follback gua baca dn lo kirain setan wakaka,0,0
ganti sahabat patrick suka idiot hilang spongebob,0,0
tanu usir aja cina,1,1
percaya perempuan tau batas almh militer didik muda yg asik muda yg kaku dgn batas laku tdk salah kodrat dn atur keras agama,0,0
hehe typical bani ga bs bantah trs danga dungu dah,1,1
alir sesat pantau alir sesat utang mui pantau alir sesat,0,0
sabtu kemarin polisi pilih henti diskusi sesuai duga serang jokowi isu perintah represif rezim otoriter,1,1
selfie mandi liat maa kuli bangun kekar otot ngocok kontol sampe mucrat,0,0
solo rank comebackn sakit tau klo tank takut war ccd bangke,0,0
tu ju bang,0,0
blur kampret,0,0
bodo akun capek,0,0
waris tradisi budaya,0,0
cebong norak,1,1
omong ahok bukti anies sandi ingkar janji reklamasi,1,1
makar omong zon suka adu domba bawa nama islam agama pegang hidup orang jgn sok suci zon lambe ndoweh bacot,1,1
gua jg njir tp ntar gua mikir lg ken rasain eue nya huehue kah kawin sj hm,0,0
eh edan university dhyana pura dalung tau disanamangkanya jungshook tdi q gtw,0,0
tindak soemantri orang jabat negara nama negara penuh undang usaha swasta asing,0,0
kalo jodoh tang tuhan mantan tang setan,0,0
ppp buruburu tolak wacana pilkada dprd,0,0
nyata insiden heli jatuh nyata pt imip kerja wna cina,0,1
anjing komunis nista islam,1,1
kalo jaman gue smp negeri kamis pake baju kayak seragam sekolah kristen gitu jumat diwajibin pake celana doang ga pake baju koko yah,0,0
ahok si hina al quran ulama sikap jijik sok suci,1,1
dbdshow kalo film yg kesan film si buta goa hantukarena film,0,0
bedrest gua pikir udah malem nyata bajing,0,0
bom tanggal tuwek wayahe nyekolahkan anak uang belanja beli beras sabun token listrik bayu sayur nyatane sedot tuku pulsa data medsos,0,0
freepoadalah usaha asing menandatangani kontrak rezim jakarta aktor ekonomi politik utama indonesia,0,0
yg bikin ff au jurus anggota jujur gua nikmatin baca gua suppolgbt doesnt mean im not normal ya i used to it temen gua yg terangterangan sam,0,0
mang ktp tulis cebong mas ente butuh perhatianatau kasih sayang sih,0,1
ahy voucher gratis martabak umur hidup anak jokowi,0,1
calon wakil gubernur khofifah emil dardak rupa sosok cerdas pintar khofifahemiljatimsatu,0,0
mas d rmh ga mnt d ceritain ud crita langsungntrnyta si gembrot dr ud g kuat pingsan mas trnyta ud bantuin ngedorong juganhoalaaah mbrot mbrotngembrot blg kalo mama ijen sm aja kya gunung si gembrot,0,0
iya maaf salahmaksudnya katolik parahyangan,0,0
emang cem bangsat ya temen kutuk tuh untung puasa nehehe,1,1
laku raja salman citra,1,1
prabowo presiden istri bisabisa indonesia hancur,1,1
eh kunyuk ngembat dana umroh lu diem aja ya,1,1
sidak priok dwelling time marahncopot smua mntri d kmnko mar nbsok jgn k pasar yanharga smua,0,0
dekrit bubar dpr,1,1
lt orang asingnnpegangannya payung lemas sender benda selamat hujan samping sofa didudukinyannalasan terima tatap layang sang pria mata me,0,0
gimana selesai impor alutsista brimob kl gk mending mundur aja,1,1
nanya aja,0,0
hahahahaha sipit gabisa melek,0,0
piye mas bagus cerah,0,0
mental asu kabehhhhndukung pimpin mental kompeni njatengmuktitanpakorupsi nndirmannaikganjarpanik,1,1
ulah asengnkaum hestek be like,1,0
psi mesra diktator jokowi peduli jahat timpa munir,1,1
iq lihat langgar ham myanmar usir duta myanmar usir org agama budha indonesia,1,1
ngentot kost pacar,0,0
lompat wesss asa ga bawa taplak merah,0,0
urut duka mati adil kedzholiman rezim,1,1
taplak mejadia bani taplak inus,1,1
rezim ya,0,0
sehat jalanjalan aktif gitu lho tebar presiden ri manggung kandang ngga bosen ketemu fadli zon aja,1,0
que bom sbbsnsn,0,0
sih salah yg cina temenan yg cina sampe bilang bau cina bau cina aduh tuhan tolong dah orang kek gt ckckck gaabis pikir pikir sempit bgt dah gue cina jg gue ktp wni men wna,0,0
shrnya ustd meluruskn orng yg salh bukn orng salh demojdi skrng tau kwalitas bgusan ustd wlpun tan g pki mobil mewh,0,0
sial titit eyo kaga,0,0
geblek udah didatengin polisi tau wkwk,0,0
rumah jaga bersih bersih rupa iman bersih sampah,0,0
umaro ulama manfaat negara pancasila tgb zainul majdi indonesia,0,0
ni kunyuk knp ributin kawin anak jokowi udah brp ylnmake mah,1,1
apbn triliyun langgeng solat aji pangkas solat aji hilang bnpt,1,1
antek komunis biadab jongos cina,1,1
mahasiswi sange ngocok memeknncolmek ngintip bokepindo kincil bokepsma pasutri ngentot tantegirang,0,0
dungu idiot permanen,1,1
beda alam demokrasi inijangan rezim yg pro penguasagerah gitu dgn beda partai yg kuasa demokritik,0,0
yaa allah jablay bawa bawa si fia jimin cuteness nya nih sial emang,0,0
indonesia,1,0
org awam aja tau rekayasa tempo antek nya asingsaatnya pimpin pks skrg sadar udukung pansus bongkar tiputipu nya kpk,1,1
gus ipulmbak puti komitmen tingkat perhatianpada kaum anak,0,0
muncul nih sakit nya jam malem kacrut nelpon telpon mati kacrut banget dah,1,1
tololapa hubung dgn rumah tangga urus kerjaanmugk cakapkamu menteri pecatjd gubernurmalah jakarta gk karuansebentar hancur tuh jakarta,1,1
musyawarat wakil inti musyawarah mufakat gotong royong kuat nasional progresif revolusioner poros nasakom cirindominasi presidennterbatasnya peran partai politiknberkembang,0,0
lelah amin doa lelah cacat ibadah moga dunia surga,0,0
bodo amatin aja kaya gitu kasih perhatianbakal,0,0
kirim foto kontol yg fulln kalo tarik vc,0,0
silit coba,0,0
arti ijab qabul janji nikah langkah dlm rangka buang islam,1,0
nya tdk nyang jd dukung nya pd goblok cina impor aseng antek aseng nya impor aseng ngoblok gk tu,1,1
bubar dpr useless,1,1
azu tenan soh kekgini nihbanimicin,1,1
maenkan mang,0,0
gak lo kampang,1,1
ahok ga bebas syarat krn hdp mako lbh nyamannknp nyaman rejim kacung nitulah sifat china khianat,1,1
inget uang jajan sma yg dikit pake potong bensin anter jemput sekolah pekan bain,0,0
dgn ketua persis kh aceng zakaria bandung karno ajar dgn persis a hasan guru natsir,0,0
gerindra rusuh prabowo utang gak gak bayar karyawan,1,1
sya jg ga suka dgn rezim yg skrg tp ancam angkat senjata yg indikasi rongrong merah putih jg tdk indonesia milik pimpin yg jiwa nasionalisme,0,0
informasi yg bukti akurat ri korban imperialism via proxynnmengapa info tsb tdk efektif cegah proxy war aws konspirasi global nnkrn pimpin,0,0
diam kau kampang,1,1
gak pilih nich nyapres,1,0
lucu deh mobil mobil jabat negara warna ijo ijo tai kuda gt,0,0
insya allahganjar pranowo dgn ridho allah swt amp warga jatengprediksi ganjar gubernur jateng,0,0
diam eek anakonda,1,0
tni gerak pki bangkit merajalelalengserkan jokowi gagal total pimpin indonesia,1,1
tuju bubar kpk angkat ketua badan berantas korupsi,1,1
iklanahokjahat bikin darah didih bangsat penuh propaganda emang lo islam radikal,1,1
cowok cowok adolexcent fc nya ganteng maho,0,0
ya robbi hamba jalan engkau ridhoi hamba goda syaiton kutuk,0,0
psti g brni nongol krn udah kthuan belang klopun adapsti cebong mrk kluarin krn mrk khbisan n g tau ngomong apansukses bt kpk,1,1
hyunjin anak tunggal in pny abang amp adik katolik sekolah sopa hyunjin dance line in vokal line,0,0
subhanallah ahok vonis salah naudzubillahmindzalik tanda wajib lengser jokowi,1,1
ekonomi skrg laaa pikir mcm mne nk maju hidup mcm,0,0
tumbangkanjokowiradikal tumbang rezim tirani lengser jokowi,1,1
cewe nih tolol deh cinta lo sampe rela ngasih hormat lo,0,1
dah mas gitutu orang dongo mah nngomongin finansial tandang markas ribut nyari stadion kosong nggak stadionnnlo paham persija,1,0
vin gimana gimana mata gue budek gabisa baca,0,0
tuduh syiah komunis yahudi antek cina tolong konsisten ya netizen misionaris,1,1
bener komunis,0,1
klo mardani presiden presiden maho indonesia gan,1,0
he bangsat jokowi th rezim diktator rezim korup mata lo buta gak bs malak lg gak bs curi,1,1
lihat udah takut biaya om air asia lokasi laut aja habis biaya blm danau gantung perintah kerjasama sm rescue asing o,0,0
udah lihat ig story mahasiswa kampang ngeluh tugas,0,0
goblog bani cebong tukang tipu jilat kuasa gerakin bayar pakai nasi bungkus propaganda nasi bungkus gagal,1,1
mantan kutuk,1,1
sumber daya alam indonesia milik sepenuh asing rebut,0,0
situ bego,1,1
kakek mpok mpok in cucu nete,0,0
iblis perangai kucing tu zzzzzzzz sanggup tgk,0,1
cerdas sby main kaki publik sby gabung kmp usung prabowo hatta sby koalisi dgn jend merah,1,1
anjir kagak,0,0
bacot lu kampang,1,1
sabar doa usaha ikhtiar mudahmudahan bentar gak pake contek gak pake plangaplongo,1,1
syetannn yg suka dengar suara adzan suka lihat orang hijab syetan turun iblis ninnalillah miris,0,0
jujur era sby jg sdh tni tdk otoriter,1,1
titit ku sakit jebolin mulu g,0,0
hadeh si cebong ga empatiempatinya nih temen,1,1
buang islam sakit laku manusia,1,1
teras saksi bisu ya masdiennduh khawatir dicka nih,0,0
keluarga yg katholik ajaa paham gak paham lucu,0,0
klu jaman harto anak prestasi perhatikannklu jaman rezim skrg lebay panggil istananrezim,1,1
focus group discussion giat model integrasi ekonomi dukung cepat industrialisasi ikan kabupaten nunukan risetdansdmkp brsdmbermitra,0,0
cinta ahlussunnahnnamun pabila gelincir kpd salah merta membenarkannyannkami nasihat amp kesabarannbukan taklid buta amp tinggal kebenarannnsikap,0,0
angkat tangan jgn gerak ciyus cumpah miapa lucu,0,0
blokir jokowi mantap nyata dunia maya sdh gambar tinggal realisasi dunia nyata lengser jokowi,1,1
dendennnista banget hidup lonudah fitnah abu jibriel gak maaf bikin fitnah lagindan followermu sedih banget tingkat kecerdasannyanmain setuja tuju ae mbek congormunbosok su,1,1
wuih cebong ngentot,1,1
agama percaya orang peluk agama a masuk surga islam kristen hindu buddha ajar kasih agama tuhan hidup lurus masuk surg,0,0
kerja cornelis tionghoa stress gila,1,0
cr bini nyapres masak g negara,1,0
negara kayak tipu bocah sd aje dokumen hilang fuih,1,1
yerusalem orangorang ajar indah ragam toleransi wajah kota suci agama islam kristen yahudi toleran penerbitmizan yerusalem,0,0
dasar bloon tw fiksi unduh buku gampang dasar perek harga,1,1
tri sontoloyo profesor sontoloyo fans sontoloyo ayo sontoloyer,1,1
gubernur indonesia pa woooow salah putra bangsa indonesia pribumi yg layak pimpin negeri moga allah swt lindung lurus juang tega islam maju bangsa amp negara,0,0
i added a video to a playlist,0,0
titip bogem aja vroh dibiarin ngelunjak tuh kunyuk,1,0
hello perintah pimpin mundur si jokowi mundur,1,1
generasi tinja bahagia pimpin nya koar koar anti aseng jaman pilkada selesai pilkada bela tinja nya aseng enak,1,0
ngaca idiot idiot manggil idiot,1,1
tjahjo perintah fraksi dpr laku lobi,0,0
si orang pintar yg gila mati mati mati langkah yg,0,0
aneh lagu mic yg doang abang,0,0
ternyta bnyak sangkut paut ya teriak cina ternyta turun cina teriak pki nyata berontak jg,1,1
hijrah sblm terlambatnsaya cebong,1,1
presiden ri megawati soekarnoputri unjung pamer arsip konferensi asia afrika kaa dlm kaa yg langsung pd selasarabu widya graha lipi jakarta selatan megawati delegasi muda konferensi yg,0,0
gak duli replyku nyambung,1,0
gila mentang mentang dah anak sma,0,0
ga kuat ngadepin bacot sumpah gakuat,0,1
woi kecoa lu baca dungu ya dasar,1,1
gubernur jawa jateng nonaktif ganjar pranowo menteri tani tan buah hasil lupabolehngawurjangan kamiganjaryasin pdiperjuangan,0,0
laku homok jaman now ngentot aja live blued gayvid gvid lokalhangat,0,0
denise leith rezim soeharto saham persen freepotak langsung penuh,0,0
survei susun disagregasi pmtb bps kota sukabumi laku koordinasi,0,0
benderang perintah jokowi diktator,1,1
universitas kyknya sdh d titipin rezim ngawasin giat mahasiswaaneh rezim skrg,0,0
ayat yg kafir binatang halal bunuh alquran fitnah andannseingat alkitab kristen yg bilang orang yg nonkristen bunuh buktik,0,0
shio baekhyun monyet,0,0
gimana junjung lu jam bilang gebuk jam sweping pki,1,1
amin smoga jd tampil sumbang medali sumsel,0,0
mampus ucup dm ma mas raka,1,1
budaya beli cabe rawit boss,0,0
titip salamterimakasih undang nya,0,0
iya si vivin tai dasar pelakorngaku alexa alda drpd rico,1,1
tanda tangan petisi basuki tjahja purnama tahan nurani noda agama,0,0
tweetnya snek aja cape ngurusin banci,1,1
semut kaiju nakalnsaya tanyanapakah tanah kegelapannsemut kaiju nakalnsaya tanyanapakah tanah takut setan,0,0
waraqah ibn naufal sepupu khadijah ad orang imam nestorian yg kiblat pd kristen nestorian syria waraqah pakai alah allah ketimbang elohim yahweh,0,0
nuduh jokowi anti ulama versi kalo lihat jokowi deket mesra ulama blingsatan,0,0
cebong terima bilang rezim amatirannklo gak amatir bukti rezim profesionalutang negarajanji kampanye bukti makmur rakyat subsidi dicabutirezim kayak gin lu bilang profesional,1,1
september perang pki desember perang topi santa gitu aja prabowo jd tri peran wanita,1,1
periode impoberas garam jagung dlln periode anggur tka serbu indonesian periode ulama habib kasar dizholiminkepada tuangurucabul pakai otak ha,1,0
suruh si munawar mimik kencing ontanmunawar munafik,1,1
emang beliau gubernur pilih rakyat jkt gubernur waris,0,0
tolak lgbt kembang dukung udah masalh manusie nye dukung tingkah e,0,0
bener bangetttjasa utk menang anies sandi,1,1
tunggu serbu onta puja turki,1,1
orang goblok piara sih anjeng,1,1
cocok prabowo myanmar kuda,1,1
umat bani kencing onta bodo kalo,1,1
move on mantan yg sipit sipit gemesin gitu ih,0,0
apaandah lu goblog,1,1
islam kali masuk dibarus abad masehi nusantara hindu budha tp tdk islam nusantara barus duluan yg bilang,0,0
mohon bantu daerah tki tokosrikandi kalung tp sp lantar galak jd susah aq g bs tangan,0,0
harini off day tidur bangun tidur sahaja hahahahaha bajing,0,0
galak anti rezim thd sebar fitnah amp benci yg pro rezim belaga ngga liat sih aja moga twitter profesional,0,0
najis wkejwkkw,0,0
prestasi ahok nselain mjadi mafia koruptor n nista agama bhasil tenggelam jkt congor cebon,1,1
maaf nilai hidayat nur wahid hormat gambar betapa munafik picik kotor hati,1,1
ulama waris nabi kecuali khalifah qs krn daud as sdh jd rasul nab allah swt anugerah lg sbg khalifah presiden gubernur bupati walikota,0,0
iyak bangga bgt pas labrak natrep sampe dipamerin geblek,1,0
kek monyet lis v pulang woy pulang,0,1
pbwibowo gay ya,1,0
anak cucu anut agama yahudi nasrani,0,0
suap makan lezat ejek gendut maaf kau hina sahabat chouji akimichi,0,0
pamor rk arti parpol usung dukung nista agama,1,1
iya aman mayoritas rakyat umat islam hati sakit sukses kendali sukses jaga emosi bangsa presiden pelihara cebong,1,1
thanks mas sa kecewa tebang pilih pasal nista agama moga hukum tindak adil,0,1
ianya berlakunnpenderitaannya abu bakar assiddiq beli zinnirah harga tekun ibadat kurnia allah keduadua mata buta cahaya peristiwa me,0,0
warga dusun mambangpanasan lestari budaya sedekah bumi,0,0
jablay fwb beda tau jablay pakainfwb and not all about sex thing duh,0,0
musuhmusuh islam otomatis kafir,1,1
yg gk seasem bijak rezim si dil mbak,0,0
antek antek zionis komunis,1,0
jjkp jomblo jablay kebelet pacar,1,0
azan tv layak tonton seru allah swt dungu biadab smua acara islam layak tonton tipu,1,1
kudu memberikanmenyantuni anak yatim piatu ya ndak orangsi anak yatim piatu golong muslim agama kristenkatolikhindubudha dllnya ya disantunibegitu nenurut atur agama alloh,0,0
dukung prabowo spt arb sda adl orangorang bejad tabiat kasar masuk org gtgt smoga laknat allah,1,1
warga banjar sandan desa bangli baturiti nyata sikap dukung pilkada bal damai tolak hoax,0,0
allah klop pasang bikin lawan kucarkacir dukung,1,0
cebonger nih junjung tembak tiarapapa habitat bisu jamaah,1,1
hellow opsisi kasih kritik any body home,0,0
pakai baju duta kuwait sekretaris bnptki tatang b razak diskus urus tki,0,0
wkwk jijik ma,0,0
tipu jokowi,1,1
cek kesiap kam pilkada nyata polres samarinda tribun kaltim,0,0
syukur tuhan ikan terima menayukuri,0,0
rezim plonga plongo kacung chinauda plonga plongo dungu lgi hahahah,1,1
hahahahahahahaha baper bang cebonk juang baper,1,1
zonkey ekor banci planga plongo,1,1
emang otak loe bersih cebong got,1,1
nya kaya indonesia serahkn asing,0,0
sumpah gue puasa kalo udah jam sore langsung otak pentium lot najisnnmeeting sampe coelcoel gue bengong sahur ngga hahahaha,0,0
kirim foto kontol gak nich sange chatsex,0,0
rp haneul sok mes cupu aja dientotinyang on retweet,1,1
presiden jokowi tinjau proyek bandara kertajati yg rencana operasi juni pd tahap kapasitas terminal tampung juta,0,0
dpr bubar sajag fungsinyamenghabiskan aggaran sajaladang korupsiuang mahar,1,1
tangkal paham radikal edar masyarakat butuh dukung elemen kecuali suluh agama suluh agama harap peran halau kembang paham radikal,0,0
pantesan parpol si anu usaha keras jegal kesah uu yaa takut presiden ngeluarin perpu tarik lihat presiden ksh ancam lgsg mingkem ketok paluu tok tok tok,1,0
lihat fakta brosing peringkat partai korup juara pdip nkalo oknum muslim korupsi cebong gembira kalo oknum non muslim korupsi cebong mingkem benc,1,1
nyamber dongnnkulit leher kering vit ccupangnnkulit bokong kering vit cceboknnhidup bahagia vit ccewekcowok,0,0
jokowi serah ganti jokowi lengser jokowi qishosjokowi,1,1
nyata fadli zon potensi korupsi pilkada dprd,0,0
diktator jokowi jongos organisasi jagal manusia nahdatul ulama inspirasi,1,1
santri tolak berita hoax pilkada kota damai,0,0
ga mw dgn asengbgmn inkonsisten donk,0,0
fiks sinting,1,1
hee kliru lidah buaya lidah mertua,0,0
ken nanya emgnya tuli bisu cacat kasar ya bang onyol knp jd,0,0
keluarga si gerung kena bom,1,1
bola dimainin lapang dimainmainin congor lu bapuk,1,1
nih gubernur indonesia cc cep john,0,1
byk alas menghimpit kuasa materi selubung agama nasionalisme ideologi partai politik warna kulit dada sesak asap bom mata halang pekat debu pandang bentur kaca tembok,0,0
naahh yg dongo yg bilang hekell hahaha,0,0
kazakhstan kartun spongebob squarepants larang kartun cipta buah budaya holiganisme keras bullying,0,0
ngentod bosque,0,0
makna puasa presiden cc,0,0
catat poinpoin sang ajar hak anggap layan perasaannnwah kejam ya peripenyihiran seram gumamnyannkarena kena materi i,0,0
klau indonesia boikot tuh bank iran negara islam aja trima uang cina,1,1
org kaya gitu emg bayi bunuh aja polisi moral keparat,1,1
lo ngga nanggepin gue iyaa emg ngga ngacangin sih pliss lo kayak mandang gue dasar autis kerja main hp mulu npliss gue cari lampias lo ngga posisi gue gausah,0,0
males bgt ngikutin nama politik indonesia nunggu presiden bkin indonesia maju singapura kayak dubai dkung politik indonesia mah sorry ngomong gni fakta,1,1
penis dgn istri prilaku seks nyimpang mui lgbt nilai perilaku seks simpang,1,0
sangup nangkep presiden tugas partai junjunan mangkrak ya jinjing bloon,1,1
emang kyai staquf nyebut suku ras biar mudah paham nalar ente bahlul ane ente arab ente sembah aja gk ane sodorin arab bani saud pro israel eh ente,1,1
berita sesal,0,0
kajakajakajakaja muito bom,0,0
kulit item burik gitu wks,0,0
ih masak samain smaa sampah,0,0
daya tarik utama konsumsi buah iblis khusus,0,0
cewe gak nya sabar ngadepin laku bajing lakilaki,0,1
congor nya dedemit,1,0
knapa ga aja islam nusantara kristen katolik nusantara kristen protestan nusantara hindu nusantara budha nusantara agama indonesia nusantara nya nkri banget gt loh,0,0
ok esok koi lancar bom atom dkt katil pkul ptg so make sure aok bilik ye esok k bye,0,0
putra daerah siliwangi ganti ondel ondel serius,1,0
dekalarasi pilkada aman anti hoax warga jabon,0,0
yeu takut mencret ga wc bahaya dumxcamping,0,1
kerjasama sisternetkemendes pdtt dorong internet medsos tingkat ekonomi,0,0
kristen bunuh afghanistan,1,0
urus endog ga cus gmn dgn urus nndasar cungkring dah pea x,1,1
walaipun otak lu sinting urat malu lu putus gue tetep sayang kth jjk aja hehe gadeng gue sayang lo happyireneday,0,1
dedi mulyadi tinggal identitas daerah jawa barat rupa wilayah kaya budaya cirebon sunda galuh sunda betawi budaya hbdkangdedi,0,0
nyesel nya nkayak makan tainklu tw gin mending gk usa,0,0
kampung ga tau crispy rendang kalo lu dapet lengkoas crispy rendang,0,0
jonru lindung kelompok prabowo subianto cs polisi aja gk berani hukum orang bebas pergi kmna mna,1,1
tangkap laku polisi lengser jokowi pki,1,1
budha teroris,1,1
deklarasi anti hoax pilkada damai jukir tambakrejo simokerto,0,0
najis beut main ml kalah mulunntemen nya buta map semuannatas jebol push,0,1
sidak rsup ahmad tabib gubernur kejut lihat sistim antri daftar pasien via,0,0
orang islam bodoh goblok milik ahok debatfinalpilkadajkt,1,1
rocky grunggrung bambang isuzu awekmany mejikkom isu dumay antek mantan,0,1
anak pmr calon dokter gk cupu,0,1
kecoa cume mlongo nya loe yg suke got tai kyanya kecoa senengnye makan tai mangkanye septi tank,0,0
yaaaelaaaaaa manusia babi dasar,1,1
abdi utk aseng,0,0
warga jateng mari tolak benci semangat mas amp dg mas amp mbak kompak paslon gubernur jateng raya ultah sudirman said,0,0
dimampusin aja udah tuh kunyuk sembah lembu,1,0
bolot,0,1
maklum gua korea ori sipit,0,0
monitoring amp evaluasi bumdes dinas pmd kabupaten lampung selatan bumdes gerak ekonomi desa,0,0
rezim skrang bobrok kyai dlu pdip demo bbm trus ngeluarin buku merah eh skrang bbm kesan diam diam planga plongo presiden presiden bgtu pake bilang kayak umar bin khattan laginauzubillah,1,1
pamerin jg gk group chat cina,0,0
rakyat mundur jokowi,1,1
kondisi ekonomi nasional batas ganti kuasa perintah ambil langkah strategis undangundang modal asing uu no,0,0
janji d dhe janji d lapang kerja rakyat tp tka cina miris,1,1
budek denger,1,0
serius macem umat katolik renaissance gitu,0,0
alah kntl,1,0
dunia muslim bantai umat,1,1
keluarga halilintar hmm km gatau udik,1,0
maju si jilat kotor ahok guntur romli tuding asma dewi kait aniessandi,1,1
temu presiden jokowi ulama jawa barat,0,0
takut gendut y ga co yg lirik ya cowo pasang bom ngegodain cwe ya beda artis artis psanganya artis pasang ya beda gaya,0,0
alhamdulillah rapat family perdana bani nafisah jalan khidmat,0,0
block tindak dewasa jaga waras kekanakkanakan sampah numpuk busuk halaman rumah disapusapu,0,1
liatin aja cacing sarden sma cebong lgi nyari dukung ulama,1,0
media milik cina ya usir aja biang pecah,1,1
gue cerita angst suka yg sad ending ampe mewek beneran gue baca gembel banget gasih wkwk,0,0
allah swt muslim syetan halal rampas ngajarkan tunduk patuh ngobarkan penis,1,1
